cust_id,shiptosourcecustomername,shiptocity,shipto_st,group
0344,0344 OMEGA MOTION,SALTILLO,MS,Furn
ABBO,ABBOTT BALL COMPANY,WEST HARTFORD,CT,Trade
GECO,GECOM CORP,GREENSBURG,IN,Trade
NUCO,NUCOR-LMP INC,MARYVILLE,MO,Trade
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,9999
CONT,CONTINENTAL TRADING CORP,GREENWICH,CT,Trade
,BAD CUST here,GREENWICH,CT,Trade
AVIG,AVIGNON STEEL,PENNSAUKEN,NJ,Trade
ACCE,ACCENT WIRE-TIE,TOMBALL,TX,Trade
INTE,INTERNATIONAL PAPER,RIEGELWOOD,NC,Trade
SYLV,SYLVAMO NORTH AMERICA LLC,EASTOVER,SC,Trade
OVAL,OVALSTRAPPING,FORT PAYNE,AL,Trade
