Trans_ID,Product_ID,Cust_ID,Purchase_Date,GLYear,Week,GLPeriod,Selling_Branch,TONS
1001,7F0006,0344,3/4/2024,2024,1,1,0R01, 5.00 
1002,7F0122,ABBO,3/5/2024,2024,1,1,0R01, 4.04 
1003,7F0006,0344,3/6/2024,2024,2,1,0R01, 2.53 
1004,7F0437,GECO,3/7/2024,2024,2,1,0R01, 13.12 
1005,7F0445,GECO,3/8/2024,2024,2,1,0R01, 4.05 
1006,7F0125,ABBO,3/9/2024,2024,3,1,0R01, 4.03 
1007,7F0437,GECO,3/10/2024,2024,3,1,0R01, 7.04 
1008,7F0467,ABBO,3/11/2024,2024,3,1,0R01, 3.99 
1009,7F0006,0344,3/12/2024,2024,4,1,0R01, 0.01 
1010,7B1000,NUCO,3/13/2024,2024,6,2,0400, 67.08 
1011,7F0437,GECO,3/14/2024,2024,6,2,0R01, 6.06 
1012,7F0445,GECO,3/15/2024,2024,6,2,0R01, 4.07 
1013,7B1000,NUCO,3/16/2024,2024,7,2,0400, 67.26 
1014,7B1000,NUCO,3/17/2024,2024,8,2,0400, 69.74 
1015,7CS128,CONT,3/18/2024,2024,8,2,0400, 4.81 
1016,7CS135,CONT,3/19/2024,2024,8,2,0400, 1.45 
1017,7B1000,NUCO,3/20/2024,2024,9,3,0400, 69.61 
1018,7F0006,0344,3/21/2024,2024,10,3,0R01, 5.05 
1019,7CS115,CONT,3/22/2024,2024,11,3,0400, 9.36 
1020,7CS120,CONT,3/23/2024,2024,11,3,0400, 9.21 
1021,7CS120,CONT,3/24/2024,2024,12,3,0400, 21.05 
1022,7F0006,0344,3/25/2024,2024,12,3,0R01, 5.05 
1023,7C3999,AVIG,3/26/2024,2024,12,3,0R01, 6.23 
1024,7CS120,CONT,4/8/2024,2024,16,4,0400, 9.31 
1025,7CS128,CONT,4/9/2024,2024,16,4,0400, 3.96 
1026,7C3999,AVIG,4/10/2024,2024,17,4,0R01, 1.50 
1027,7CS120,CONT,4/11/2024,2024,18,5,0400, 4.59 
1028,7CS128,CONT,4/12/2024,2024,18,5,0400, 2.14 
1029,7C3999,AVIG,4/13/2024,2024,21,5,0R01, 1.56 
1030,7F0006,0344,4/14/2024,2024,23,6,0R01, 5.07 
1031,7F0006,0344,4/15/2024,2024,25,6,0R01, 5.07 
1032,7C3999,AVIG,4/16/2024,2024,26,6,0R01, 1.64 
1033,7CS128,CONT,4/17/2024,2024,31,8,0400, 5.42 
